ts,A-S"1,CTX-S"1,CTX-S"2,x-S"2,S"1-H1,S"2-H2,S"1-M"1,S"2-M"2,M"1-D,M"2-D,M"1-R*,M"2-R*
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
14,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
15,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
16,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
17,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
18,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
19,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
20,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
21,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
22,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
23,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
24,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
25,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
26,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
27,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
28,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
29,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
30,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
31,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
32,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
33,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
34,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
35,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
36,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
37,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
38,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
39,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
40,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
41,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
42,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
43,0.107,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
44,0.106,0.101,0.102,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
45,0.106,0.101,0.102,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
46,0.106,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
47,0.106,0.101,0.102,0.1,0.103,0.103,0.103,0.103,0.176,0.297,0.3,0.321,
48,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.407,0.362,0.411,
49,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.407,0.362,0.411,
50,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
51,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
52,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
53,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
54,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
55,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
56,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
57,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
58,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
59,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
60,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
61,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
62,0.113,0.104,0.106,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
63,0.113,0.104,0.106,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
64,0.113,0.104,0.106,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
65,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
66,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
67,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
68,0.113,0.104,0.106,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
69,0.113,0.104,0.105,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
70,0.113,0.103,0.105,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
71,0.113,0.103,0.105,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
72,0.113,0.103,0.105,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
73,0.113,0.103,0.105,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
74,0.113,0.103,0.105,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
75,0.113,0.103,0.105,0.1,0.106,0.105,0.106,0.105,0.275,0.406,0.362,0.411,
76,0.113,0.103,0.105,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
77,0.113,0.103,0.105,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
78,0.113,0.103,0.105,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
79,0.113,0.103,0.105,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
80,0.113,0.103,0.105,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
81,0.113,0.103,0.105,0.1,0.106,0.106,0.106,0.105,0.275,0.406,0.362,0.411,
