ts,A-S"1,CTX-S"1,CTX-S"2,x-S"2,S"1-H1,S"2-H2,S"1-M"1,S"2-M"2,M"1-D,M"2-D,M"1-R*,M"2-R*
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
19,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
20,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
21,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
22,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
23,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
24,0.1,0.099,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
25,0.1,0.099,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
26,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
27,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
28,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
29,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
30,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
31,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
32,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
33,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
34,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
35,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
36,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
37,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
38,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
39,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
40,0.1,0.103,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
41,0.1,0.103,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
42,0.1,0.103,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
43,0.1,0.103,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
44,0.1,0.103,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
45,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
46,0.1,0.103,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
47,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
48,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
49,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
50,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
51,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
52,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
53,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
54,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
55,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
56,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
57,0.1,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
58,0.1,0.102,0.102,0.099,0.103,0.103,0.103,0.103,0.297,0.176,0.297,0.327,
59,0.1,0.107,0.104,0.104,0.106,0.106,0.105,0.106,0.461,0.227,0.356,0.416,
60,0.1,0.107,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
61,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
62,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
63,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
64,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
65,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
66,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
67,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
68,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
69,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
70,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
71,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
72,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
73,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
74,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
75,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
76,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
77,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
78,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
79,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
80,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
81,0.1,0.106,0.104,0.104,0.106,0.106,0.105,0.106,0.46,0.226,0.356,0.416,
