ts,A-S"1,CTX-S"1,CTX-S"2,x-S"2,S"1-H1,S"2-H2,S"1-M"1,S"2-M"2,M"1-D,M"2-D,M"1-R*,M"2-R*
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
19,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
20,0.099,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
21,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
22,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
23,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
24,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
25,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
26,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
27,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
28,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
29,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
30,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
31,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
32,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
33,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
34,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
35,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
36,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
37,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
38,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
39,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
40,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
41,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
42,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
43,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
44,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
45,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
46,0.102,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
47,0.102,0.102,0.102,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
48,0.102,0.101,0.102,0.1,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.298,
49,0.102,0.101,0.102,0.099,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.297,
50,0.102,0.101,0.102,0.099,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.297,
51,0.102,0.101,0.102,0.099,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.297,
52,0.102,0.101,0.102,0.099,0.103,0.103,0.103,0.103,0.3,0.174,0.176,0.297,
53,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
54,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
55,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
56,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
57,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
58,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
59,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
60,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
61,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
62,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
63,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
64,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
65,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
66,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
67,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
68,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
69,0.108,0.104,0.105,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
70,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
71,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
72,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
73,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
74,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
75,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
76,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
77,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
78,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
79,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
80,0.108,0.104,0.104,0.103,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
81,0.109,0.104,0.104,0.102,0.106,0.106,0.106,0.106,0.466,0.222,0.274,0.399,
