ts,A-S"1,CTX-S"1,CTX-S"2,x-S"2,S"1-H1,S"2-H2,S"1-M"1,S"2-M"2,M"1-D,M"2-D,M"1-R*,M"2-R*
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
13,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
14,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
15,0.099,0.099,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
16,0.107,0.103,0.103,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
17,0.107,0.103,0.103,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
18,0.107,0.103,0.103,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
19,0.107,0.103,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
20,0.107,0.103,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
21,0.107,0.103,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
22,0.107,0.103,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
23,0.107,0.103,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
24,0.107,0.103,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
25,0.107,0.103,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
26,0.107,0.103,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
27,0.107,0.103,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
28,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
29,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
30,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
31,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
32,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
33,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
34,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
35,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
36,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
37,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
38,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
39,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
40,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
41,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
42,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
43,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
44,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
45,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
46,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
47,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
48,0.107,0.102,0.102,0.108,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
49,0.106,0.102,0.102,0.107,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
50,0.106,0.102,0.102,0.107,0.103,0.103,0.103,0.103,0.299,0.174,0.175,0.298,
51,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
52,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
53,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
54,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
55,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
56,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
57,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
58,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
59,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
60,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
61,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
62,0.106,0.105,0.105,0.107,0.106,0.106,0.105,0.106,0.464,0.224,0.24,0.396,
63,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
64,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
65,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
66,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
67,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
68,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
69,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
70,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
71,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
72,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
73,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
74,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
75,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
76,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.396,
77,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.395,
78,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.395,
79,0.106,0.105,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.395,
80,0.106,0.104,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.395,
81,0.106,0.104,0.105,0.107,0.106,0.106,0.106,0.106,0.464,0.224,0.24,0.395,
