ts,A-S"1,CTX-S"1,CTX-S"2,x-S"2,S"1-H1,S"2-H2,S"1-M"1,S"2-M"2,M"1-D,M"2-D,M"1-R*,M"2-R*
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
3,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
4,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
5,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
6,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
7,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
8,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
9,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
10,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
11,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
12,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
13,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
14,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
15,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
16,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
17,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
18,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
19,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
20,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
21,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
22,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
23,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
24,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
25,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
26,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
27,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
28,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
29,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
30,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
31,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
32,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
33,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
34,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
35,0.1,0.104,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
36,0.1,0.103,0.103,0.1,0.103,0.103,0.103,0.103,0.194,0.279,0.194,0.279,
37,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
38,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
39,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
40,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
41,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
42,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
43,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
44,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
45,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
46,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
47,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
48,0.1,0.108,0.105,0.104,0.106,0.105,0.106,0.105,0.251,0.434,0.301,0.388,
49,0.1,0.108,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
50,0.1,0.108,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
51,0.1,0.108,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
52,0.1,0.108,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
53,0.1,0.108,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
54,0.1,0.108,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
55,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
56,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
57,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
58,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
59,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
60,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
61,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
62,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
63,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
64,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
65,0.1,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
66,0.099,0.107,0.105,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
67,0.099,0.107,0.104,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
68,0.099,0.107,0.104,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
69,0.099,0.107,0.104,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
70,0.099,0.107,0.104,0.104,0.106,0.106,0.106,0.105,0.251,0.434,0.301,0.388,
71,0.099,0.111,0.108,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
72,0.099,0.11,0.108,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
73,0.099,0.11,0.108,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
74,0.099,0.11,0.108,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
75,0.099,0.11,0.108,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
76,0.099,0.11,0.108,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
77,0.099,0.11,0.108,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
78,0.099,0.11,0.107,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
79,0.099,0.11,0.107,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
80,0.099,0.11,0.107,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
81,0.099,0.11,0.107,0.107,0.109,0.108,0.109,0.108,0.315,0.5,0.376,0.44,
