ts,A-S"1,CTX-S"1,CTX-S"2,x-S"2,S"1-H1,S"2-H2,S"1-M"1,S"2-M"2,M"1-D,M"2-D,M"1-R*,M"2-R*
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
19,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
20,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
21,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
22,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
23,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
24,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
25,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
26,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
27,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
28,0.1,0.1,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
29,0.1,0.099,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
30,0.1,0.099,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
31,0.1,0.099,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
32,0.1,0.099,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
33,0.099,0.099,0.099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
34,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
35,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
36,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
37,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
38,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
39,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
40,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
41,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
42,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
43,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
44,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
45,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
46,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
47,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
48,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
49,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
50,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
51,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
52,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
53,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
54,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
55,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
56,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
57,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
58,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
59,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
60,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
61,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
62,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
63,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
64,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
65,0.106,0.101,0.102,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
66,0.105,0.101,0.101,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
67,0.105,0.101,0.101,0.105,0.103,0.103,0.103,0.103,0.279,0.194,0.279,0.362,
68,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
69,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
70,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
71,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
72,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
73,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
74,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
75,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
76,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
77,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
78,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
79,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
80,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
81,0.105,0.106,0.104,0.107,0.106,0.106,0.105,0.106,0.433,0.251,0.333,0.44,
