ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
0,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.006,0.006,0.007,0.007,0.006,0.0,
1,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
2,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.006,0.006,0.006,0.007,0.006,0.0,
3,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
4,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
5,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.007,0.007,0.006,0.006,0.006,0.0,
6,0.0,0.7,0.0,0.0,0.015,0.012,0.006,0.007,0.006,0.006,0.006,0.007,0.0,
7,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
8,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.006,0.006,0.007,0.006,0.007,0.0,
9,0.0,0.7,0.0,0.0,0.015,0.015,0.006,0.006,0.006,0.006,0.007,0.006,0.0,
10,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
11,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
12,0.0,0.7,0.0,0.0,0.012,0.015,0.006,0.006,0.007,0.007,0.007,0.006,0.0,
13,0.0,0.7,0.0,0.0,0.015,0.015,0.006,0.006,0.006,0.006,0.007,0.007,0.0,
14,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
15,0.0,0.7,0.0,0.0,0.012,0.012,0.007,0.006,0.006,0.007,0.006,0.006,0.0,
16,0.0,0.7,0.0,0.0,0.012,0.012,0.006,0.007,0.006,0.006,0.006,0.007,0.0,
17,1.0,0.7,1.0,0.0,0.032,0.032,0.006,0.006,0.007,0.008,0.006,0.006,0.0,
18,1.0,0.7,1.0,0.0,0.032,0.039,0.006,0.006,0.006,0.006,0.006,0.007,0.0,
19,1.0,0.7,1.0,0.0,0.032,0.032,0.006,0.006,0.006,0.006,0.007,0.006,0.0,
20,1.0,0.7,1.0,0.0,0.032,0.032,0.006,0.008,0.006,0.008,0.006,0.006,0.0,
21,1.0,0.7,1.0,0.0,0.031,0.032,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
22,1.0,0.7,0.9,1.0,0.031,0.035,0.006,0.006,0.006,0.008,1.0,1.0,0.0,
