ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
0,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.007,0.006,0.0,
1,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.006,0.006,0.007,0.006,0.007,0.0,
2,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
3,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
4,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
5,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
6,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
7,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
8,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
9,1.0,0.4,1.0,0.0,0.028,0.028,0.006,0.007,0.008,0.006,0.006,0.007,0.0,
10,1.0,0.4,1.0,0.0,0.024,0.024,0.006,0.006,0.006,0.006,0.007,0.006,0.0,
11,1.0,0.4,1.0,0.0,0.029,0.024,0.006,0.006,0.008,0.006,0.006,0.006,0.0,
12,1.0,0.4,0.9,0.0,0.029,0.022,0.006,0.006,0.008,0.008,0.006,0.006,0.0,
13,1.0,0.4,0.9,0.0,0.024,0.022,0.006,0.006,0.006,0.006,0.007,0.006,0.0,
14,1.0,0.4,0.8,1.0,0.024,0.02,0.008,0.006,0.006,0.006,1.0,1.0,0.0,
15,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
16,0.0,0.4,0.0,0.0,0.011,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
17,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
18,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.008,0.0,
19,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.007,0.006,0.008,0.0,
20,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
21,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
22,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
23,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.008,0.0,
24,0.0,0.4,0.0,0.0,0.011,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
25,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
26,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.006,0.006,0.006,0.0,
27,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
28,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.006,0.006,0.008,0.0,
29,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
30,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
31,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
32,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.008,0.0,
33,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
34,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.006,0.006,0.008,0.006,0.0,
35,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
36,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.007,0.006,0.006,0.008,0.0,
37,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
38,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.007,0.006,0.006,0.006,0.0,
39,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
40,0.0,0.4,0.0,0.0,0.011,0.011,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
41,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.007,0.006,0.006,0.006,0.0,
42,1.0,0.4,1.0,0.0,0.026,0.025,0.006,0.006,0.008,0.006,0.008,0.006,0.0,
43,1.0,0.4,1.0,0.0,0.031,0.025,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
44,1.0,0.4,1.0,0.0,0.031,0.031,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
45,1.0,0.4,1.0,0.0,0.025,0.025,0.006,0.008,0.008,0.008,0.006,0.008,0.0,
