ts,A-S"1,CTX-S"1,CTX-S"2,x-S"2,S"1-H1,S"2-H2,S"1-M"1,S"2-M"2,M"1-D,M"2-D,M"1-R*,M"2-R*
0,0.104,0.103,0.104,0.1,0.103,0.103,0.103,0.103,0.176,0.298,0.299,0.322,
1,0.104,0.102,0.104,0.1,0.103,0.103,0.103,0.103,0.175,0.298,0.299,0.322,
2,0.104,0.102,0.104,0.1,0.103,0.103,0.103,0.103,0.175,0.298,0.299,0.322,
3,0.103,0.102,0.104,0.1,0.103,0.103,0.103,0.103,0.175,0.297,0.299,0.322,
4,0.103,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.175,0.297,0.299,0.322,
5,0.103,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.175,0.297,0.298,0.321,
6,0.103,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.175,0.297,0.298,0.321,
7,0.103,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.175,0.297,0.298,0.321,
8,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.175,0.296,0.298,0.321,
9,0.103,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.175,0.296,0.298,0.321,
10,0.103,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.174,0.296,0.297,0.32,
11,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.174,0.296,0.297,0.32,
12,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.174,0.296,0.297,0.32,
13,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.174,0.296,0.297,0.32,
14,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.174,0.295,0.297,0.32,
15,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.174,0.295,0.296,0.319,
16,0.101,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.174,0.295,0.296,0.319,
17,0.101,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.174,0.295,0.296,0.319,
18,0.101,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.174,0.295,0.296,0.319,
19,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.173,0.294,0.296,0.319,
20,0.102,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.173,0.294,0.295,0.318,
21,0.101,0.102,0.103,0.1,0.103,0.103,0.103,0.103,0.173,0.294,0.295,0.318,
22,0.101,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.173,0.294,0.295,0.318,
23,0.101,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.173,0.294,0.295,0.318,
24,0.101,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.173,0.293,0.295,0.318,
25,0.101,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.173,0.293,0.295,0.317,
26,0.101,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.173,0.293,0.294,0.317,
27,0.1,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.172,0.293,0.294,0.317,
28,0.1,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.172,0.293,0.294,0.317,
29,0.1,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.172,0.292,0.294,0.316,
30,0.1,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.172,0.292,0.294,0.316,
31,0.099,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.172,0.292,0.293,0.316,
32,0.099,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.172,0.292,0.293,0.316,
33,0.099,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.172,0.292,0.293,0.316,
34,0.099,0.101,0.103,0.1,0.103,0.103,0.103,0.103,0.172,0.291,0.293,0.315,
35,0.098,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.172,0.291,0.293,0.315,
36,0.098,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.171,0.291,0.292,0.315,
37,0.098,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.171,0.291,0.292,0.315,
38,0.098,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.171,0.291,0.292,0.315,
39,0.098,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.171,0.291,0.292,0.314,
40,0.098,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.171,0.29,0.292,0.314,
41,0.097,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.171,0.29,0.291,0.314,
42,0.097,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.171,0.29,0.291,0.314,
43,0.097,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.171,0.29,0.291,0.314,
44,0.097,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.171,0.29,0.291,0.313,
45,0.097,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.17,0.289,0.291,0.313,
46,0.097,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.17,0.289,0.29,0.313,
47,0.097,0.1,0.103,0.1,0.103,0.103,0.103,0.103,0.17,0.289,0.29,0.313,
48,0.096,0.1,0.102,0.1,0.103,0.103,0.103,0.103,0.17,0.289,0.29,0.313,
49,0.096,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.17,0.289,0.29,0.312,
50,0.096,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.17,0.289,0.29,0.312,
51,0.096,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.17,0.288,0.29,0.312,
52,0.096,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.17,0.288,0.289,0.312,
53,0.096,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.17,0.288,0.289,0.312,
54,0.096,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.169,0.288,0.289,0.311,
55,0.096,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.169,0.288,0.289,0.311,
56,0.096,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.169,0.287,0.289,0.311,
57,0.096,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.169,0.287,0.288,0.311,
58,0.095,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.169,0.287,0.288,0.311,
59,0.095,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.169,0.287,0.288,0.31,
60,0.095,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.169,0.287,0.288,0.31,
61,0.095,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.169,0.286,0.288,0.31,
62,0.094,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.169,0.286,0.287,0.31,
63,0.094,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.168,0.286,0.287,0.31,
64,0.094,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.168,0.286,0.287,0.309,
65,0.094,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.168,0.286,0.287,0.309,
66,0.094,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.168,0.286,0.287,0.309,
67,0.094,0.099,0.102,0.1,0.103,0.103,0.103,0.103,0.168,0.285,0.286,0.309,
68,0.094,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.168,0.285,0.286,0.309,
69,0.093,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.168,0.285,0.286,0.308,
70,0.093,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.168,0.285,0.286,0.308,
71,0.093,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.168,0.285,0.286,0.308,
72,0.093,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.167,0.284,0.285,0.308,
73,0.093,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.167,0.284,0.285,0.308,
74,0.093,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.167,0.284,0.285,0.307,
75,0.093,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.167,0.284,0.285,0.307,
76,0.092,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.167,0.284,0.285,0.307,
77,0.092,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.167,0.284,0.285,0.307,
78,0.092,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.167,0.283,0.284,0.307,
79,0.092,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.167,0.283,0.284,0.306,
80,0.092,0.098,0.102,0.1,0.103,0.103,0.103,0.103,0.167,0.283,0.284,0.306,
81,0.091,0.097,0.102,0.1,0.103,0.103,0.103,0.103,0.166,0.283,0.284,0.306,
82,0.091,0.097,0.102,0.1,0.103,0.103,0.103,0.103,0.166,0.283,0.284,0.306,
83,0.091,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.166,0.282,0.283,0.306,
84,0.091,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.166,0.282,0.283,0.305,
85,0.091,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.166,0.282,0.283,0.305,
86,0.091,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.166,0.282,0.283,0.305,
87,0.091,0.097,0.102,0.1,0.103,0.103,0.103,0.103,0.166,0.282,0.283,0.305,
88,0.091,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.166,0.282,0.283,0.305,
89,0.091,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.166,0.281,0.282,0.304,
90,0.09,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.165,0.281,0.282,0.304,
91,0.09,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.165,0.281,0.282,0.304,
92,0.09,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.165,0.281,0.282,0.304,
93,0.09,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.165,0.281,0.282,0.304,
94,0.09,0.097,0.101,0.1,0.103,0.103,0.103,0.103,0.165,0.281,0.281,0.304,
