ts,A-S"1,CTX-S"1,CTX-S"2,x-S"2,S"1-H1,S"2-H2,S"1-M"1,S"2-M"2,M"1-D,M"2-D,M"1-R*,M"2-R*
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
5,0.106,0.103,0.103,0.106,0.103,0.103,0.103,0.103,0.3,0.174,0.3,0.321,
6,0.106,0.102,0.102,0.106,0.103,0.103,0.103,0.103,0.3,0.174,0.3,0.321,
7,0.106,0.102,0.102,0.106,0.103,0.103,0.103,0.103,0.3,0.174,0.3,0.321,
8,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.3,0.174,0.3,0.321,
9,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.3,0.174,0.3,0.321,
10,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.3,0.174,0.3,0.321,
11,0.106,0.102,0.102,0.105,0.103,0.103,0.103,0.103,0.3,0.174,0.3,0.321,
12,0.106,0.106,0.106,0.105,0.106,0.105,0.106,0.105,0.477,0.213,0.37,0.403,
13,0.106,0.106,0.106,0.105,0.106,0.105,0.106,0.105,0.477,0.213,0.37,0.403,
14,0.105,0.106,0.106,0.105,0.106,0.105,0.106,0.105,0.477,0.213,0.37,0.403,
15,0.105,0.105,0.106,0.105,0.106,0.105,0.106,0.105,0.477,0.213,0.37,0.403,
16,0.105,0.105,0.106,0.105,0.106,0.105,0.106,0.105,0.477,0.213,0.37,0.403,
17,0.104,0.105,0.106,0.105,0.106,0.105,0.106,0.105,0.477,0.213,0.37,0.403,
18,0.111,0.108,0.108,0.112,0.109,0.108,0.109,0.108,0.589,0.236,0.414,0.452,
19,0.111,0.108,0.108,0.112,0.109,0.108,0.109,0.108,0.589,0.236,0.413,0.452,
20,0.111,0.108,0.108,0.111,0.109,0.108,0.109,0.108,0.588,0.235,0.413,0.451,
21,0.111,0.108,0.108,0.111,0.109,0.108,0.109,0.108,0.588,0.235,0.413,0.451,
22,0.111,0.108,0.108,0.111,0.109,0.108,0.109,0.108,0.588,0.235,0.413,0.451,
23,0.111,0.108,0.108,0.111,0.109,0.108,0.109,0.108,0.588,0.235,0.413,0.451,
24,0.111,0.108,0.108,0.111,0.109,0.108,0.109,0.108,0.588,0.235,0.413,0.451,
25,0.118,0.111,0.111,0.119,0.112,0.112,0.113,0.112,0.651,0.25,0.437,0.483,
26,0.118,0.11,0.111,0.118,0.112,0.112,0.113,0.112,0.651,0.25,0.437,0.483,
27,0.118,0.11,0.111,0.118,0.112,0.112,0.113,0.112,0.651,0.25,0.437,0.483,
28,0.117,0.11,0.111,0.118,0.112,0.112,0.113,0.112,0.651,0.25,0.437,0.483,
29,0.117,0.11,0.11,0.117,0.112,0.112,0.113,0.112,0.651,0.25,0.437,0.483,
30,0.117,0.11,0.11,0.117,0.112,0.112,0.113,0.112,0.651,0.25,0.437,0.483,
31,0.125,0.113,0.113,0.121,0.115,0.115,0.116,0.114,0.684,0.262,0.453,0.5,
32,0.125,0.113,0.113,0.121,0.115,0.115,0.116,0.114,0.683,0.262,0.453,0.5,
33,0.125,0.113,0.113,0.121,0.115,0.115,0.116,0.114,0.683,0.262,0.452,0.5,
34,0.125,0.113,0.113,0.121,0.115,0.115,0.116,0.114,0.682,0.261,0.452,0.499,
35,0.125,0.113,0.113,0.12,0.115,0.115,0.116,0.114,0.682,0.261,0.452,0.499,
36,0.124,0.113,0.113,0.12,0.115,0.115,0.116,0.114,0.682,0.261,0.452,0.499,
37,0.124,0.113,0.113,0.12,0.115,0.115,0.116,0.114,0.682,0.261,0.452,0.499,
38,0.123,0.112,0.113,0.119,0.115,0.115,0.116,0.114,0.682,0.261,0.452,0.499,
39,0.134,0.116,0.116,0.129,0.118,0.118,0.119,0.117,0.702,0.266,0.464,0.508,
40,0.133,0.116,0.116,0.129,0.118,0.118,0.119,0.117,0.702,0.266,0.464,0.508,
41,0.133,0.116,0.116,0.129,0.118,0.118,0.119,0.117,0.702,0.266,0.464,0.508,
42,0.132,0.116,0.116,0.129,0.118,0.118,0.119,0.117,0.702,0.266,0.464,0.508,
43,0.132,0.116,0.116,0.129,0.118,0.118,0.119,0.117,0.702,0.266,0.464,0.508,
44,0.132,0.116,0.116,0.129,0.118,0.118,0.119,0.117,0.702,0.266,0.464,0.508,
45,0.132,0.119,0.12,0.129,0.12,0.121,0.122,0.12,0.714,0.269,0.47,0.513,
46,0.132,0.119,0.12,0.128,0.12,0.121,0.122,0.12,0.713,0.269,0.47,0.513,
47,0.131,0.119,0.119,0.128,0.12,0.121,0.122,0.12,0.713,0.269,0.47,0.513,
48,0.131,0.119,0.119,0.128,0.12,0.121,0.122,0.12,0.713,0.269,0.47,0.513,
49,0.13,0.119,0.119,0.127,0.12,0.121,0.122,0.12,0.713,0.269,0.47,0.513,
50,0.13,0.119,0.119,0.127,0.12,0.121,0.122,0.12,0.713,0.269,0.47,0.513,
51,0.129,0.118,0.119,0.126,0.12,0.121,0.122,0.12,0.713,0.269,0.47,0.513,
52,0.129,0.118,0.119,0.126,0.12,0.121,0.122,0.12,0.713,0.269,0.47,0.513,
53,0.139,0.122,0.122,0.135,0.123,0.124,0.125,0.123,0.719,0.271,0.473,0.517,
54,0.139,0.122,0.122,0.135,0.123,0.124,0.125,0.123,0.719,0.271,0.473,0.517,
55,0.139,0.122,0.122,0.135,0.123,0.124,0.125,0.123,0.719,0.271,0.473,0.517,
56,0.139,0.122,0.122,0.135,0.123,0.124,0.125,0.123,0.719,0.271,0.473,0.517,
57,0.138,0.121,0.122,0.134,0.123,0.124,0.125,0.123,0.719,0.271,0.473,0.517,
58,0.138,0.121,0.122,0.134,0.123,0.124,0.125,0.123,0.719,0.271,0.473,0.517,
59,0.15,0.126,0.125,0.144,0.126,0.127,0.128,0.126,0.722,0.272,0.475,0.519,
60,0.15,0.126,0.125,0.143,0.126,0.127,0.128,0.126,0.722,0.272,0.474,0.519,
61,0.149,0.125,0.124,0.143,0.126,0.127,0.128,0.126,0.721,0.272,0.474,0.518,
62,0.148,0.125,0.124,0.142,0.126,0.127,0.128,0.126,0.721,0.272,0.474,0.518,
63,0.148,0.125,0.124,0.142,0.126,0.127,0.128,0.126,0.721,0.272,0.474,0.518,
64,0.148,0.125,0.124,0.141,0.126,0.127,0.128,0.126,0.721,0.272,0.474,0.518,
65,0.148,0.125,0.124,0.141,0.126,0.127,0.128,0.126,0.721,0.272,0.474,0.518,
66,0.148,0.125,0.124,0.141,0.126,0.127,0.128,0.126,0.721,0.272,0.474,0.518,
67,0.148,0.128,0.128,0.141,0.129,0.13,0.131,0.129,0.724,0.272,0.476,0.52,
68,0.147,0.128,0.128,0.141,0.129,0.13,0.131,0.129,0.724,0.272,0.476,0.52,
69,0.146,0.128,0.128,0.141,0.129,0.13,0.131,0.129,0.724,0.272,0.476,0.52,
70,0.146,0.128,0.128,0.141,0.129,0.13,0.131,0.129,0.724,0.272,0.476,0.52,
71,0.146,0.128,0.128,0.14,0.129,0.13,0.131,0.129,0.724,0.272,0.476,0.52,
72,0.146,0.128,0.128,0.14,0.129,0.13,0.131,0.129,0.724,0.272,0.476,0.52,
73,0.157,0.132,0.132,0.152,0.132,0.132,0.134,0.132,0.725,0.273,0.477,0.521,
74,0.156,0.131,0.132,0.152,0.132,0.132,0.134,0.132,0.724,0.273,0.476,0.52,
75,0.155,0.131,0.131,0.151,0.132,0.132,0.134,0.132,0.724,0.272,0.476,0.52,
76,0.155,0.131,0.131,0.15,0.132,0.132,0.134,0.132,0.724,0.272,0.476,0.52,
77,0.155,0.131,0.131,0.15,0.132,0.132,0.134,0.132,0.724,0.272,0.476,0.52,
78,0.155,0.131,0.131,0.15,0.132,0.132,0.134,0.132,0.724,0.272,0.476,0.52,
79,0.155,0.131,0.131,0.15,0.132,0.132,0.134,0.132,0.724,0.272,0.476,0.52,
80,0.167,0.135,0.135,0.162,0.135,0.136,0.136,0.134,0.725,0.273,0.477,0.521,
81,0.166,0.134,0.135,0.161,0.135,0.136,0.136,0.134,0.725,0.273,0.477,0.521,
