ts,A-S"1,CTX-S"1,CTX-S"2,x-S"2,S"1-H1,S"2-H2,S"1-M"1,S"2-M"2,M"1-D,M"2-D,M"1-R*,M"2-R*
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
19,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
20,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
21,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
22,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
23,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
24,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
25,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
26,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
27,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
28,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
29,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
30,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
31,0.1,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
32,0.1,0.103,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
33,0.1,0.103,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
34,0.1,0.103,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
35,0.1,0.103,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
36,0.1,0.103,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
37,0.1,0.103,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
38,0.1,0.103,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
39,0.1,0.103,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
40,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
41,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
42,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
43,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
44,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
45,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
46,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
47,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
48,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
49,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
50,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
51,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
52,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
53,0.1,0.102,0.102,0.103,0.103,0.103,0.103,0.103,0.174,0.3,0.298,0.325,
54,0.1,0.106,0.107,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
55,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
56,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
57,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
58,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
59,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
60,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
61,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
62,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
63,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
64,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
65,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
66,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
67,0.1,0.106,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
68,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
69,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
70,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
71,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
72,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
73,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
74,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
75,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
76,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
77,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
78,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
79,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
80,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
81,0.1,0.105,0.106,0.103,0.106,0.106,0.105,0.105,0.223,0.465,0.357,0.415,
